year,Global Avg temp,Global Avg temp
1750,8.72,#N/A
1751,7.98,#N/A
1752,5.78,#N/A
1753,8.39,#N/A
1754,8.47,#N/A
1755,8.36,#N/A
1756,8.85,#N/A
1757,9.02,#N/A
1758,6.74,8.03
1759,7.99,7.877
1760,7.19,7.956
1761,8.77,8.239
1762,8.61,8.15
1763,7.5,8.143
1764,8.4,8.132
1765,8.25,8.088
1766,8.41,8.008
1767,8.22,8.012
1768,6.78,7.982
1769,7.69,8.032
1770,7.69,7.94
1771,7.85,7.898
1772,8.19,7.97
1773,8.22,8.007
1774,8.77,8.1
1775,9.18,8.089
1776,8.3,8.093
1777,8.26,8.269
1778,8.54,8.398
1779,8.98,8.572
1780,9.43,8.597
1781,8.1,8.568
1782,7.9,8.514
1783,7.68,8.423
1784,7.86,8.241
1785,7.36,8.237
1786,8.26,8.214
1787,8.03,8.205
1788,8.45,8.14
1789,8.33,7.995
1790,7.98,8.008
1791,8.23,8.027
1792,8.09,8.082
1793,8.23,8.149
1794,8.53,8.248
1795,8.35,8.249
1796,8.27,8.297
1797,8.51,8.319
1798,8.67,8.337
1799,8.51,8.387
1800,8.48,8.423
1801,8.59,8.472
1802,8.58,8.499
1803,8.5,8.53
1804,8.84,8.551
1805,8.56,8.567
1806,8.43,8.544
1807,8.28,8.44
1808,7.63,8.297
1809,7.08,8.141
1810,6.92,7.968
1811,6.86,7.815
1812,7.05,7.739
1813,7.74,7.614
1814,7.59,7.482
1815,7.24,7.333
1816,6.94,7.203
1817,6.98,7.223
1818,7.83,7.252
1819,7.37,7.322
1820,7.62,7.445
1821,8.09,7.559
1822,8.19,7.557
1823,7.72,7.653
1824,8.55,7.768
1825,8.39,7.91
1826,8.36,8.093
1827,8.81,8.127
1828,8.17,8.184
1829,7.94,8.274
1830,8.52,8.229
1831,7.64,8.155
1832,7.45,8.184
1833,8.01,8.144
1834,8.15,8.044
1835,7.39,7.978
1836,7.7,7.835
1837,7.38,7.769
1838,7.51,7.738
1839,7.63,7.666
1840,7.8,7.671
1841,7.69,7.728
1842,8.02,7.744
1843,8.17,7.694
1844,7.65,7.74
1845,7.85,7.825
1846,8.55,7.896
1847,8.09,7.943
1848,7.98,7.978
1849,7.98,7.988
1850,7.9,8.037
1851,8.18,8.045
1852,8.1,8.032
1853,8.04,8.088
1854,8.21,8.114
1855,8.11,8.059
1856,8,8.026
1857,7.76,8.038
1858,8.1,8.065
1859,8.25,8.071
